hú3	húð
ritujn	ritum
Jpað	Það
Jpegar	Þegar
JPegar	Þegar
ódjrrari	ódýrari
Keflavíh	Keflavík
heflr	hefir
lormælendur	formælendur
þelta	þetta
vlnkaup	vínkaup
sjálflr	sjálfir
gelur	getur
halði	hafði
landsréttlnda	landsréttinda
slóra	stóra
lélt	létt
hal'a	hafa
ol'þyngja	ofþyngja
l'yrir	fyrir
lbrðabúr	forðabúr
lælcnirinn	læknirinn
landrælcir	landrækir
liafi	hafi
fyllis	fylkis
liann	hann
livers	hvers
lim	um
llafi	Hafi
llrafni	Hrafni
eklri	ekki
orðmn	orðinn
ritstjóm	ritstjórn
ems	eins
Sigm-	Sigur-
fmmvarp	frumvarp
hersveitimar	hersveitirnar
ráðgjafmn	ráðgjafinn
betm	betur
sknð-	skað-
knppsmáli	kappsmáli
mikln	miklu
neyrnar	heyrnar
rútnr	rútur
þeini	þeim
heininum	heiminum
sanikoniulag	samkomulag
höfuní	höfum
finnm	fimm
konrizt	komist
nenra	nema
sjo	sje
eptirleiois	eptirleiðis
fuodinum	fundinum
áour	áður
íslonzkar	íslenzkar
bjorgun	björgun
þoir	þeir
voiti	veiti
þjo'ðverja	þjóðverja
lógfræðings	lögfræðings
fólaga	félaga
falió	falið
sór	sér
sór	sér
róttar	réttar
alpingi	alþingi
Próða	Fróða
Pað	Það
Pjölgar	Fjölgar
pjaldkeri	gjaldkeri
pg	og
rar	var
storu	stofu
þrárt	þrátt
getura	getum
neraa	nema
surhir	sumir
prerit	prent
riú	nú
nefnrlu	nefndu
heirnila	heimila
nerna	nema
rnikla	mikla
kerour	kemur
sero	sem
sneroma	snemma
lögunuro	lögunum
heirour	heimur
stofurrni	stofunni
málurr	málum
rrteiri	meiri
hljórrtleikana	hljómleikana
nýbyrjaS	nýbyrjað
leiS	leið
þsssi	þessi
ljósiS	ljósið
viS	við
öSru	öðru
fssðingunni	fæðingunni
fyrit	fyrir
fteiri	fleiri
stðastliðið	síðastliðið
terða-	ferða-
etu	eru
innsigltð	innsiglið
triði	friði
batna	barna
gtfmlu	gömlu
frath	fram
kntiið	knúið
öðrtim	öðrum 
vatisælu	vansælu
Gntípverjum	Gnúpverjum
tilbtíið	tilbúið
þeitn	þeim
tneð	með
ttm	um
ttpp	upp
tíðutu	tíðum
manua	manna
gefiun	gefinn
eugin	engin
lufhræddir	lafhræddir
hufi	hafi
niðurlug	niðurlag
anduíg	andvíg
Daua	Dana
AUs	Alls
sauitalinu	samtalinu
múlum	málum
nú	nö
geymiv	geymir
stundiv	stundir
ritgevðavkaflann	ritgerðarkaflann
vvpp	upp
skóX	skóli
þyí	því
Yér	Vér
yjer	vjer
ýyrsta	fyrsta
þriýnað	þrifnað
nokkuö	nokkuð
aö	að
þör	þér
mötmæli	mótmæli
aö	að
hvaöanæfa	hvaðanæfa
hiö	hið
meöal	meðal
brúöur	brúður
